pair_type,pair,frame,checkpoint_sha256_equal,position_rel_l2,velocity_rel_l2,velocity_difference_rms,velocity_reference_rms
atomic-repeat,atomic-a:atomic-b,20,1,0.0,0.0,0.0,0.019749912749435782
atomic-repeat,atomic-a:atomic-b,30,1,0.0,0.0,0.0,0.028719212414388625
atomic-repeat,atomic-a:atomic-b,40,0,0.0,8.644577649949376e-07,3.2261960349397314e-08,0.03732045873818513
atomic-repeat,atomic-a:atomic-b,50,0,6.13215043962354e-08,8.813138679716584e-05,4.007527690156269e-06,0.04547219595420168
atomic-repeat,atomic-a:atomic-b,60,0,1.282905406219601e-07,9.912347286302136e-05,5.2612514003901525e-06,0.05307775492955812
atomic-repeat,atomic-a:atomic-b,70,0,2.5209002388389456e-07,0.00011724332717751528,7.042203262634619e-06,0.06006485343061093
atomic-repeat,atomic-a:atomic-b,80,0,5.364670051664205e-07,0.0001486541793405845,9.858689101248322e-06,0.06631962279823218
atomic-repeat,atomic-a:atomic-b,90,0,1.1018080642944242e-06,0.00021746840574717472,1.5605071680886105e-05,0.0717578796205841
atomic-repeat,atomic-a:atomic-b,100,0,2.466237045523954e-06,0.00045175791748927754,3.452157265143582e-05,0.07641608772082051
atomic-repeat,atomic-a:atomic-b,110,0,7.583750662947263e-06,0.0014877914226800626,0.00011932535006985338,0.08020300981094802
atomic-repeat,atomic-a:atomic-b,120,0,2.42575810704925e-05,0.0042261719731453064,0.0003509469935239044,0.08304134231970543
atomic-repeat,atomic-a:atomic-b,130,0,6.1009991668630166e-05,0.009649537960004525,0.0008207769905779473,0.08505868301465933
gather-repeat,gather-a:gather-b,20,1,0.0,0.0,0.0,0.019749912749435782
gather-repeat,gather-a:gather-b,30,1,0.0,0.0,0.0,0.02871928455230935
gather-repeat,gather-a:gather-b,40,1,0.0,0.0,0.0,0.0373204062029953
gather-repeat,gather-a:gather-b,50,1,0.0,0.0,0.0,0.04547246916388096
gather-repeat,gather-a:gather-b,60,1,0.0,0.0,0.0,0.05307800991713319
gather-repeat,gather-a:gather-b,70,1,0.0,0.0,0.0,0.060064968682141825
gather-repeat,gather-a:gather-b,80,1,0.0,0.0,0.0,0.06632001514975934
gather-repeat,gather-a:gather-b,90,1,0.0,0.0,0.0,0.07175811443131092
gather-repeat,gather-a:gather-b,100,1,0.0,0.0,0.0,0.07641587037792807
gather-repeat,gather-a:gather-b,110,1,0.0,0.0,0.0,0.08020309920544395
gather-repeat,gather-a:gather-b,120,1,0.0,0.0,0.0,0.08304102373704814
gather-repeat,gather-a:gather-b,130,1,0.0,0.0,0.0,0.08505870593565339
