scene_id,pair_type,pair,matched_checkpoints,position_rel_l2_p50,position_rel_l2_p95,position_rel_l2_max,velocity_rel_l2_p50,velocity_rel_l2_p95,velocity_rel_l2_max,velocity_difference_rms_p95,velocity_reference_rms_p50
hanging,within-condition-repeat,resident-a:resident-b,12,4.07481103749889e-07,6.452026061354206e-05,6.452026061354206e-05,0.00014484902434516988,0.009689187233304202,0.009689187233304202,0.0008223850466308776,0.06006453059365132
hanging,within-condition-repeat,forced-a:forced-b,12,3.9519478108979435e-07,4.111724288224272e-05,4.111724288224272e-05,0.0001488072007743626,0.005428545438563344,0.005428545438563344,0.0004607546024628196,0.06006480030054211
hanging,across-condition,resident-a:forced-a,12,1.511208800156033e-07,7.80663382120681e-05,7.80663382120681e-05,0.00010114811177249403,0.012128248362333673,0.012128248362333673,0.0010294042064462492,0.06006453059365132
hanging,across-condition,resident-a:forced-b,12,3.896118631448043e-07,9.180665485151768e-05,9.180665485151768e-05,0.0001474004365573679,0.013493963596749156,0.013493963596749156,0.0011453214407503554,0.06006453059365132
hanging,across-condition,resident-b:forced-a,12,4.083832813292357e-07,4.277370537125918e-05,4.277370537125918e-05,0.000147460704977688,0.005888139350745318,0.005888139350745318,0.0004997453049292668,0.06006398775780057
hanging,across-condition,resident-b:forced-b,12,2.3216395741257595e-07,4.632835935780463e-05,4.632835935780463e-05,0.00011215669520216476,0.007338584818751167,0.007338584818751167,0.0006228492719914771,0.06006398775780057
moving-sphere,within-condition-repeat,resident-a:resident-b,12,4.124707208808793e-07,8.021352035377205e-05,8.021352035377205e-05,0.00014821209544138076,0.012727004096651447,0.012727004096651447,0.0010825511281934912,0.06006426791712214
moving-sphere,within-condition-repeat,forced-a:forced-b,12,2.651306443638515e-07,3.941017383656035e-05,3.941017383656035e-05,0.00011912318066876854,0.005875973798540365,0.005875973798540365,0.0004998163312971576,0.06006421225326286
moving-sphere,across-condition,resident-a:forced-a,12,1.8598186311887624e-07,5.415293350931134e-05,5.415293350931134e-05,0.00010720055394124642,0.00912478949521765,0.00912478949521765,0.0007761489732823264,0.06006426791712214
moving-sphere,across-condition,resident-a:forced-b,12,2.678232565174912e-07,6.299010898742971e-05,6.299010898742971e-05,0.00011809360780583742,0.010028937120255958,0.010028937120255958,0.0008530552132823755,0.06006426791712214
moving-sphere,across-condition,resident-b:forced-a,12,3.6852202760571703e-07,4.8245693590834414e-05,4.8245693590834414e-05,0.00014100853964842843,0.007388728762260036,0.007388728762260036,0.0006284873936359643,0.06006471164388633
moving-sphere,across-condition,resident-b:forced-b,12,4.1703067285533845e-07,3.784853192874108e-05,3.784853192874108e-05,0.00015070464554353035,0.007363351998804116,0.007363351998804116,0.0006263288388376354,0.06006471164388633
